City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Tiksi,100,RU,1587664754,97,71.69,128.87,19.49,2.77
Churapcha,0,RU,1587664762,94,62.0,132.43,22.05,3.11
New Norfolk,79,AU,1587664983,72,-42.78,147.06,55.99,1.99
Nsanje,21,MW,1587664983,83,-16.92,35.26,70.77,5.37
Narsaq,20,GL,1587664758,43,60.92,-46.05,51.8,11.41
Dikson,100,RU,1587664739,92,73.51,80.55,35.76,20.09
Grindavik,75,IS,1587664983,87,63.84,-22.43,44.6,18.34
Ushuaia,75,AR,1587664984,75,-54.8,-68.3,44.6,24.16
Taoudenni,1,ML,1587664984,8,22.68,-3.98,100.42,4.88
Vaini,40,TO,1587664984,94,-21.2,-175.2,73.4,4.7
Hobart,75,AU,1587664842,76,-42.88,147.33,55.99,8.05
Arcata,90,US,1587664984,100,40.87,-124.08,62.01,8.05
East London,64,ZA,1587664984,74,-33.02,27.91,69.13,4.97
Inhambane,9,MZ,1587664785,78,-23.86,35.38,75.2,2.24
Westport,90,US,1587664982,45,41.14,-73.36,46.99,8.05
Quimper,90,FR,1587664984,82,48.0,-4.1,57.2,5.82
Rikitea,27,PF,1587664985,77,-23.12,-134.97,75.67,13.82
Deputatsky,92,RU,1587664763,90,69.3,139.9,13.39,3.47
Port Alfred,92,ZA,1587664985,90,-33.59,26.89,63.0,2.48
Mataura,38,NZ,1587664734,86,-46.19,168.86,51.01,4.0
Bredasdorp,99,ZA,1587664731,77,-34.53,20.04,60.8,2.24
Lavrentiya,43,RU,1587664744,95,65.58,-171.0,21.6,7.36
Ribeira Grande,75,PT,1587664985,72,38.52,-28.7,64.4,4.7
Jamestown,90,US,1587664737,65,42.1,-79.24,46.4,8.05
Moree,87,AU,1587664985,76,-29.47,149.85,51.8,4.85
Saint Paul Harbor,90,US,1587664754,87,57.79,-152.41,42.8,9.17
Bluff,80,NZ,1587664729,86,-46.6,168.33,51.01,4.0
Adana Province,75,TR,1587664986,68,36.98,35.29,66.2,5.82
Bathsheba,40,BB,1587664986,66,13.22,-59.52,86.0,21.92
Baracoa,9,CU,1587664986,73,20.35,-74.5,80.94,13.35
Vega de Alatorre,12,MX,1587664986,49,20.03,-96.63,90.39,8.23
Saint-Philippe,75,RE,1587664986,78,-21.36,55.77,77.0,11.41
Busselton,85,AU,1587664986,76,-33.65,115.33,59.0,4.94
Butaritari,80,KI,1587664986,77,3.07,172.79,83.12,12.62
Bac Lieu,96,VN,1587664986,77,9.29,105.72,84.45,15.88
Atar,0,MR,1587664987,10,20.52,-13.05,93.07,18.14
Airai,83,TL,1587664987,71,-8.93,125.41,60.35,3.15
Cidreira,0,BR,1587664731,69,-30.18,-50.21,73.08,10.78
